Time,Temperature,Humidity,Soil Moisture,Wind Direction,Wind Speed,Rain
00:02:10,15.94,74.6845703125,294,NW,0.53932439678284,79.9084
00:07:14,15.81,74.6875,288,SE,0,79.9084
00:12:18,15.7,74.794921875,291,NE,0,79.9084
00:17:22,15.58,74.833984375,289,S,0,79.9084
00:22:26,15.49,74.876953125,289,S,0,79.9084
00:27:30,15.44,75.2412109375,289,S,0,79.9084
00:32:34,15.37,74.5888671875,289,S,0,79.9084
00:37:37,15.31,74.822265625,287,S,0,79.9084
00:42:41,15.24,74.9853515625,289,S,0,79.9084
00:47:45,15.21,75.0859375,287,S,0,79.9084
00:52:49,15.16,74.4833984375,288,SE,0,79.9084
00:57:53,15.08,74.7373046875,293,N,0,79.9084
01:02:57,15,74.79296875,295,N,0,79.9084
01:08:01,14.92,74.76953125,294,W,0,79.9084
01:13:04,14.83,74.904296875,287,S,0.53932439678284,79.9084
01:18:08,14.72,75.2587890625,290,S,0.53932439678284,79.9084
01:23:12,14.67,75.4013671875,289,S,0,79.9084
01:28:16,14.66,75.2236328125,286,SE,0,79.9084
01:33:20,14.64,75.08203125,288,SE,0,79.9084
01:38:24,14.58,74.83984375,288,SE,0,79.9084
01:43:27,14.56,74.9296875,288,SE,0,79.9084
01:48:31,14.47,74.9248046875,289,S,0,79.9084
01:53:35,14.37,75.0126953125,288,S,0,79.9084
01:58:39,14.27,74.3310546875,288,S,0,79.9084
02:03:43,14.19,74.3193359375,289,NE,0,79.9084
02:08:46,14.08,74.474609375,288,NE,0,79.9084
02:13:50,14,74.6357421875,287,SE,0,79.9084
02:18:54,13.94,74.6845703125,288,SE,0,79.9084
02:23:58,13.85,74.44921875,291,SW,0,79.9084
02:29:02,13.75,74.3271484375,289,S,0.53932439678284,79.9084
02:34:05,13.71,75.6787109375,291,S,0,79.9084
02:39:09,13.67,75.021484375,287,SE,0,79.9084
02:44:13,13.57,74.1796875,289,S,1.07864879356568,79.9084
02:49:17,13.51,75.1572265625,290,S,0,79.9084
02:54:21,13.48,74.9541015625,290,NE,0,79.9084
02:59:25,13.43,74.630859375,290,NE,0,79.9084
03:04:28,13.34,74.1416015625,289,SE,0,79.9084
03:09:32,13.29,74.7470703125,286,SE,0,79.9084
03:14:36,13.24,74.599609375,287,SE,0,79.9084
03:19:40,13.11,73.9404296875,286,E,0,79.9084
03:24:44,12.94,73.7255859375,286,E,0,79.9084
03:29:48,12.8,73.8662109375,284,E,0,79.9084
